RatingID,MovieID,UserID,RatingValue,Comment,RatingDate
1,180,42,5.1,Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Kültürel öğeler ve tarihsel referanslarla zenginleştirilmiş.,2007-06-24
2,11,32,7.1,"Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Film, izleyiciyi derin bir maceraya sürüklüyor.",1982-04-23
3,271,7,3.9,"Film, izleyiciyi derin bir maceraya sürüklüyor. Doğa ve insan ilişkisini estetik bir dille ele alıyor. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.",1996-03-17
4,89,97,2.6,Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Gerilim dolu sahneleri ile nefes kesen bir yapım. Çocukluk anıları ve aile bağlarını merkezine alıyor.,2021-05-07
5,80,192,2.6,Tarihi olayları özgün bir perspektiften yorumluyor. Yerli kültür motiflerini başarılı şekilde yansıtıyor. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor. Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Sanatsal ve estetik açıdan başarılı bir film.,2018-10-01
6,228,16,1.3,Sinema tarihine adını yazdıracak bir yapım. Gerilim dolu sahneleri ile nefes kesen bir yapım.,2021-11-27
7,179,93,2.5,Toplumsal mesajlar içeren çarpıcı bir yapım. Görsel efektleriyle izleyiciyi büyülüyor.,2022-07-07
8,80,173,9.4,Mükemmel müzikleri ve sahne tasarımı ile öne çıkıyor. Gerilim dolu sahneleri ile nefes kesen bir yapım. Çocukluk anıları ve aile bağlarını merkezine alıyor. Psikolojik derinliği olan karakterlere odaklanıyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor.,2013-05-25
9,174,127,2.3,"Görsel efektleriyle izleyiciyi büyülüyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Gizemli atmosferi ile izleyiciyi etkisi altına alıyor. Toplumsal mesajlar içeren çarpıcı bir yapım.",2009-10-23
10,51,267,7.0,Sürükleyici temposu ve sürpriz sonuyla izleyiciyi şaşırtıyor. Doğa ve insan ilişkisini estetik bir dille ele alıyor. Tarihi olayları özgün bir perspektiften yorumluyor. Psikolojik derinliği olan karakterlere odaklanıyor.,2018-01-08
11,268,202,5.9,Sinema tarihine adını yazdıracak bir yapım. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Sanatsal ve estetik açıdan başarılı bir film.,2022-12-15
12,230,102,9.5,"Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş. Unutulmaz sahneleriyle hafızalarda yer ediniyor. Yüksek tempolu aksiyon sahneleri ile dikkat çekiyor. Toplumsal mesajlar içeren çarpıcı bir yapım. Film, izleyiciyi derin bir maceraya sürüklüyor.",2007-02-21
13,252,54,6.1,Sinema tarihine adını yazdıracak bir yapım. Toplumsal mesajlar içeren çarpıcı bir yapım. Yerli kültür motiflerini başarılı şekilde yansıtıyor. Çocukluk anıları ve aile bağlarını merkezine alıyor. Tarihi olayları özgün bir perspektiften yorumluyor.,2005-06-03
14,29,271,1.4,Sinema tarihine adını yazdıracak bir yapım. Doğa ve insan ilişkisini estetik bir dille ele alıyor.,2025-08-30
15,293,278,6.8,"Psikolojik derinliği olan karakterlere odaklanıyor. Film, izleyiciyi derin bir maceraya sürüklüyor.",2019-12-12
16,25,156,2.7,Çocukluk anıları ve aile bağlarını merkezine alıyor. Unutulmaz sahneleriyle hafızalarda yer ediniyor.,2018-08-20
17,261,269,5.6,Görsel efektleriyle izleyiciyi büyülüyor. Gerilim dolu sahneleri ile nefes kesen bir yapım.,1990-12-30
18,235,96,7.4,Tarihi olayları özgün bir perspektiften yorumluyor. Görsel efektleriyle izleyiciyi büyülüyor.,2021-06-26
19,254,106,6.8,"Konu, aşk ve dramın iç içe geçtiği bir hikayeyi anlatıyor. Karakterler arası ilişkiler dikkat çekici şekilde işlenmiş.",2018-08-15
20,106,60,1.0,Çocukluk anıları ve aile bağlarını merkezine alıyor. Sürükleyici senaryosu ve güçlü oyunculuklarla izlenmeli. Özgün senaryosu ve sürükleyici kurgusuyla öne çıkıyor.,2007-01-22
