Queen Battle,Tim,Schmidt,Sanatçı
Kaze Yurei Taiyo,David,Davis,Gizemli kahin
Light Fire Dragon Queen,William,Williams,Asker kahraman
Güneş Yol,William,Williams,Doktor
Prem Zindagi Dil,William,Williams,Zengin iş insanı
Luz Sombras Reina,Alejandro,López,Bilim insanı
Zhan Hua Tian,Yu-Jin,Yoon,Kahramanın arkadaşı
Taiyo Ken Shizukesa Tabibito,Inès,Durand,Bilim insanı
Taiyo Unmei,Tae-Hyun,Park,Yabancı ajan
König Geist Kampf,Tae-Hyun,Park,Gazeteci
Haneul Sarangi Baram,Tae-Hyun,Park,Gizemli kahin
Ombre Secret Nuit,Susan,Miller,Kahramanın arkadaşı
Sang Nuit,Susan,Miller,Gazeteci
Blood Battle Dream,Louise,Bernard,Polis dedektif
Fire Blood Shadow King,Louise,Bernard,Aşk ilgisi
Hua Long,Louise,Bernard,Aşk ilgisi
Queen Light,Louise,Bernard,Sanatçı
Âme Cœur,Barbara,Miller,Bilim insanı
Yurei Kaze Unmei Ken,Camille,Robert,Suçlu lider
Zindagi Khwaab,Ming,Zhou,Kahramanın arkadaşı
Secret Night Legacy Battle,Ming,Zhou,Asker kahraman
Prem Dil Sapna Aag,Louise,Martin,Doktor
Taiyo Unmei Tabibito Senshi,Louise,Martin,İsyancı lider
Hana Taiyo Senshi,Louise,Martin,İsyancı lider
Zhan Tian,Isabel,García,Asker kahraman
River King Fire Path,Isabel,García,İsyancı lider
Pyar Khwaab Zindagi,Michael,Jones,Yabancı ajan
Hana Tabibito,Robert,Garcia,Bilim insanı
Sapna Pyar Jeevan,Robert,Garcia,Gizemli kahin
Ghost Soul Shadow,William,Evans,Gizemli kahin
Secret Ombre Feu Rêve,William,Evans,Yabancı ajan
Battle Secret Dragon Fire,William,Evans,Doktor
Nuit Sang Rêve Voix,Hyun,Kang,Zengin iş insanı
Noche Susurro Dragón Reino,Woo,Kim,Katil şüphelisi
Hearts Chueok,Lei,Yang,Kurtarıcı
Soul Dream,Lei,Yang,Terapist
Aag Zindagi Sapna,Finn,Schmidt,Kahramanın arkadaşı
River King Fire Path,Peng,Chen,Dedektif yardımcısı
Ken Taiyo Unmei Hoshi,Peng,Chen,İsyancı lider
Tsuki Shizukesa,Carlos,Sánchez,Kurtarıcı
Reino Luz,Charlotte,Jones,Kurtarıcı
Yoru Ken Senshi Hoshi,Alessandro,Rossi,İsyancı lider
Nuit Voix Ombre Étoile,Alessandro,Rossi,Doktor
Luz Legado Susurro Dragón,Alessandro,Rossi,Gizemli kahin
Shan Xin Zhan Ling,Priya,Das,Yargıç
Light Dragon,Priya,Das,Yargıç
Traum Blut,Max,Schneider,Kurtarıcı
Yol Aşk,Max,Schneider,Yabancı ajan
Battaglia Regina Eredità,Jessica,Johnson,Gizemli kahin
Dream Blood Night,Pooja,Singh,Gizemli kahin
Prem Sapna,Lena,Weber,Aşk ilgisi
Soul Path,Louis,Robert,Katil şüphelisi
Yol Umutsuz Rüya Kral,Louis,Robert,Prens/prenses
Kampf Weg,Mei,Fujimoto,Asker kahraman
Safar Raat,Deniz,Şahin,Dedektif yardımcısı
Traum Blut,Hana,Yoon,Suçlu lider
Ombre Sang Voix Âme,Haruto,Kobayashi,Başrol oyuncusu
Blood Battle,Stefano,Ferrari,Polis dedektif
Shadow Whisper Night,Stefano,Ferrari,Gazeteci
Legado Reina Sombra Fuego,Barbara,Johnson,Sanatçı
Baram Sarangi,Barbara,Johnson,İsyancı lider
Hana Tsuki,Joon,Lee,Bilim insanı
Jeevan Aag Rang Dosti,Ana,Flores,Doktor
Feng Ri Yue Shan,Takumi,Mori,Yargıç
Susurro Sombra,Elisa,Russo,Prens/prenses
Battaglia Sussurro,Ren,Ito,Gazeteci
Lumière Liberté,Giovanni,Rossi,Suçlu lider
Unmei Yoru,Ryota,Saito,Doktor
Sang Voix Ombre,Gabriel,Bernard,Başrol oyuncusu
Dragón Reino,Gabriel,Bernard,Aşk ilgisi
Long Shan Hua,Gabriel,Bernard,Aşk ilgisi
Dream Blood Night,Alice,Martin,Suçlu lider
Eredità Luce,Alice,Martin,Yabancı ajan
Sessizlik Rüya,Marco,Marino,Zengin iş insanı
Bitnaneun Sarangi Chueok Haneul,Francesco,Rossi,Sanatçı
Luz Sombras Reina,Martina,Rossi,Zengin iş insanı
Sombra Secreto Legado Tormenta,Léna,Moreau,Dedektif yardımcısı
Hana Taiyo Senshi,Yui,Kobayashi,İsyancı lider
Storm Battle Night,Arjun,Gupta,Zengin iş insanı
Tsuki Shizukesa Ken Tabibito,Arjun,Gupta,Aşk ilgisi
Umutsuz Yol Hayat,Michael,Wilson,Polis dedektif
Tormenta Noche Fuego,Feng,Liu,Aşk ilgisi
Uri Baram Bitnaneun Bam,Jian,Chen,Sanatçı
Notte Regno Regina Eredità,Jian,Chen,Prens/prenses
Licht Nacht Kampf Seele,Zeynep,Öztürk,Yabancı ajan
Geist Kampf Traum,Zeynep,Öztürk,Sanatçı
Traum König Fluss,Woo,Kang,Kurtarıcı
Tsuki Yurei Tabibito Hana,Woo,Kang,Dedektif yardımcısı
Fluss Feuer Schatten Traum,Verónica,Sánchez,Dedektif yardımcısı
Shizukesa Yurei Unmei Tsuki,Hina,Yamamoto,Polis dedektif
Yol Aşk Güneş,Fen,Liu,Kurtarıcı
Yurei Tsuki Hoshi Tabibito,Fen,Liu,Sanatçı
Dosti Khwaab Prem,Lucy,Johnson,Başrol oyuncusu
Shadow Whisper,Juan,Garcia,Kahramanın arkadaşı
Prem Dil Sapna Aag,Marta,Sanchez,Yabancı ajan
Ye Qing,Marta,Sanchez,Kahramanın arkadaşı
Hoshi Tsuki Taiyo Tabibito,Joon,Yoon,Suçlu lider
Gölge Yol,Jesús,Martínez,İsyancı lider
Tempesta Segreto Drago Regno,Lan,Zhou,Yabancı ajan
Shadow Night Fire,Isabel,Fernandez,Prens/prenses
Queen Battle,Fernando,Hernández,Zengin iş insanı
Jeevan Pyar Rang Sapna,Fernando,Hernández,Başrol oyuncusu
Voix Liberté Nuit Sang,Fernando,Hernández,Kurtarıcı
Étoile Âme,Sarah,Miller,Yargıç
Gece Kader,Takumi,Shimizu,Polis dedektif
Tormenta Noche Fuego,Takumi,Shimizu,Prens/prenses
Fuego Susurro Reino,Lea,Meyer,İsyancı lider
Soul Light Dream,Zeynep,Kaya,Sanatçı
Reino Noche Batalla,Federica,Ricci,İsyancı lider
Shadow Night Fire,Marie,Meyer,Gazeteci
Hana Ken,Elena,Perez,Aşk ilgisi
Rang Sapna Khwaab,Elena,Perez,Sanatçı
Storm Queen,Min-Seo,Choi,Sanatçı
Hana Taiyo Shizukesa,Ana,Garcia,Polis dedektif
Feng Tian Ling,Ana,Garcia,Zengin iş insanı
Dragón Fuego Batalla,Felix,Schulz,Yargıç
Battle King,Kavita,Sharma,Yargıç
Blood Battle Dream,Bo-Ra,Yoon,Aşk ilgisi
Étoile Âme,Bo-Ra,Yoon,Bilim insanı
Gece Kader,Pooja,Patel,Bilim insanı
Kader Umutsuz Güneş,Pooja,Patel,Doktor
Night Dream,Jennifer,Garcia,Kurtarıcı
Yol Aşk,Jennifer,Garcia,Yargıç
Long Yue,Jennifer,Garcia,Zengin iş insanı
Tabibito Ken,Lan,Zhou,Katil şüphelisi
Feng Qing,Olivia,Roberts,Aşk ilgisi
Fuoco Tempesta Notte,Antonio,Martinez,Kahramanın arkadaşı
Night Light,Antonio,Martinez,Dedektif yardımcısı
Pyar Khwaab Jeevan Dosti,Martina,Marino,Doktor
Sarang Sarangi Saebyeok,Martina,Marino,Bilim insanı
Fire Queen Storm,Aya,Ito,Gizemli kahin
Batalla Secreto Reino,Aya,Ito,Yabancı ajan
Fuego Batalla Sombras,Aya,Ito,Başrol oyuncusu
Shizukesa Tabibito Kaze Yurei,Lucy,Smith,Kurtarıcı
Gece Aşk Gölge,Lucy,Smith,Başrol oyuncusu
Reina Sombras Tormenta Secreto,Lucy,Smith,İsyancı lider
Nacht Schatten Weg Blut,Hao,Wu,Yargıç
Ombre Sang Voix Âme,Hao,Wu,Bilim insanı
Dragón Susurro Batalla,Hao,Wu,Aşk ilgisi
Battle Blood Fire Soul,Lan,Wu,Asker kahraman
